geoid,name,B19013001,"B19013001, Error"
14000US06037127104,"Census Tract 1271.04, Los Angeles, CA",39067,7040
14000US06037127210,"Census Tract 1272.10, Los Angeles, CA",55997,4349
14000US06037127220,"Census Tract 1272.20, Los Angeles, CA",39645,4408
14000US06037127300,"Census Tract 1273, Los Angeles, CA",49375,14607
14000US06037127400,"Census Tract 1274, Los Angeles, CA",53695,5823
14000US06037127520,"Census Tract 1275.20, Los Angeles, CA",35728,5435
14000US06037127603,"Census Tract 1276.03, Los Angeles, CA",42292,5968
14000US06037127604,"Census Tract 1276.04, Los Angeles, CA",44798,6311
14000US06037127605,"Census Tract 1276.05, Los Angeles, CA",46071,5210
14000US06037127606,"Census Tract 1276.06, Los Angeles, CA",60904,8499
14000US06037127711,"Census Tract 1277.11, Los Angeles, CA",64018,12330
14000US06037127712,"Census Tract 1277.12, Los Angeles, CA",42662,4862
14000US06037127803,"Census Tract 1278.03, Los Angeles, CA",43071,8872
14000US06037127804,"Census Tract 1278.04, Los Angeles, CA",53792,7264
14000US06037127805,"Census Tract 1278.05, Los Angeles, CA",49457,8334
14000US06037127806,"Census Tract 1278.06, Los Angeles, CA",42946,15830
14000US06037127910,"Census Tract 1279.10, Los Angeles, CA",46190,2609
14000US06037127920,"Census Tract 1279.20, Los Angeles, CA",56458,16822
14000US06037128101,"Census Tract 1281.01, Los Angeles, CA",56023,10032
14000US06037128102,"Census Tract 1281.02, Los Angeles, CA",46699,8772
14000US06037128210,"Census Tract 1282.10, Los Angeles, CA",31168,6619
14000US06037128220,"Census Tract 1282.20, Los Angeles, CA",41570,5383
14000US06037128302,"Census Tract 1283.02, Los Angeles, CA",46413,7213
14000US06037128303,"Census Tract 1283.03, Los Angeles, CA",39488,4135
14000US06037128400,"Census Tract 1284, Los Angeles, CA",72500,17474
14000US06037128500,"Census Tract 1285, Los Angeles, CA",74375,12563
14000US06037128601,"Census Tract 1286.01, Los Angeles, CA",48173,14670
14000US06037128602,"Census Tract 1286.02, Los Angeles, CA",85284,17438
14000US06037128702,"Census Tract 1287.02, Los Angeles, CA",76202,6313
14000US06037128801,"Census Tract 1288.01, Los Angeles, CA",65449,11844
14000US06037128802,"Census Tract 1288.02, Los Angeles, CA",89735,8886
14000US06037128910,"Census Tract 1289.10, Los Angeles, CA",104392,13274
14000US06037131010,"Census Tract 1310.10, Los Angeles, CA",56487,6178
14000US06037131020,"Census Tract 1310.20, Los Angeles, CA",66875,9761
14000US06037131100,"Census Tract 1311, Los Angeles, CA",81613,19474
14000US06037131200,"Census Tract 1312, Los Angeles, CA",81929,17418
14000US06037131300,"Census Tract 1313, Los Angeles, CA",71848,12626
14000US06037131400,"Census Tract 1314, Los Angeles, CA",67730,7537
14000US06037131600,"Census Tract 1316, Los Angeles, CA",77222,26152
14000US06037131701,"Census Tract 1317.01, Los Angeles, CA",71595,6806
14000US06037131702,"Census Tract 1317.02, Los Angeles, CA",68083,15774
14000US06037131800,"Census Tract 1318, Los Angeles, CA",66434,8661
14000US06037131900,"Census Tract 1319, Los Angeles, CA",86818,27470
14000US06037132001,"Census Tract 1320.01, Los Angeles, CA",83039,9993
14000US06037132002,"Census Tract 1320.02, Los Angeles, CA",109891,13771
14000US06037132101,"Census Tract 1321.01, Los Angeles, CA",73550,12750
14000US06037132102,"Census Tract 1321.02, Los Angeles, CA",49838,12253
14000US06037132300,"Census Tract 1323, Los Angeles, CA",49741,6971
14000US06037132501,"Census Tract 1325.01, Los Angeles, CA",60156,20005
14000US06037132502,"Census Tract 1325.02, Los Angeles, CA",52712,12096
14000US06037132700,"Census Tract 1327, Los Angeles, CA",64412,16884
14000US06037132900,"Census Tract 1329, Los Angeles, CA",81042,9546
14000US06037133000,"Census Tract 1330, Los Angeles, CA",72864,8475
14000US06037133100,"Census Tract 1331, Los Angeles, CA",52262,4944
14000US06037134001,"Census Tract 1340.01, Los Angeles, CA",63846,9352
14000US06037134002,"Census Tract 1340.02, Los Angeles, CA",54138,10199
14000US06037134101,"Census Tract 1341.01, Los Angeles, CA",69476,15824
14000US06037134103,"Census Tract 1341.03, Los Angeles, CA",81833,13397
14000US06037134104,"Census Tract 1341.04, Los Angeles, CA",60582,9933
14000US06037134201,"Census Tract 1342.01, Los Angeles, CA",91758,10723
14000US06037134302,"Census Tract 1343.02, Los Angeles, CA",103750,20895
14000US06037134303,"Census Tract 1343.03, Los Angeles, CA",78864,18669
14000US06037134304,"Census Tract 1343.04, Los Angeles, CA",64167,9879
14000US06037134305,"Census Tract 1343.05, Los Angeles, CA",37606,6152
14000US06037134306,"Census Tract 1343.06, Los Angeles, CA",69286,13401
14000US06037134421,"Census Tract 1344.21, Los Angeles, CA",140313,24355
14000US06037134422,"Census Tract 1344.22, Los Angeles, CA",121250,25556
14000US06037134423,"Census Tract 1344.23, Los Angeles, CA",100950,14147
14000US06037134424,"Census Tract 1344.24, Los Angeles, CA",147679,14124
14000US06037134520,"Census Tract 1345.20, Los Angeles, CA",46011,8033
14000US06037134521,"Census Tract 1345.21, Los Angeles, CA",57669,6147
14000US06037134522,"Census Tract 1345.22, Los Angeles, CA",37869,4765
14000US06037134710,"Census Tract 1347.10, Los Angeles, CA",46050,9150
14000US06037134720,"Census Tract 1347.20, Los Angeles, CA",66650,10279
14000US06037134800,"Census Tract 1348, Los Angeles, CA",84038,9572
14000US06037134901,"Census Tract 1349.01, Los Angeles, CA",74125,30416
